比企谷,,,1000,名詞,固有名詞,人名,一般,*,*,*,ヒキガヤ,ヒキガヤ
八幡,,,1000,名詞,固有名詞,人名,一般,*,*,*,ハチマン,ハチマン
小町,,,1000,名詞,固有名詞,人名,一般,*,*,*,コマチ,コマチ
一色,,,1000,名詞,固有名詞,人名,一般,*,*,*,イッシキ,イッシキ
花咲川,,,1000,名詞,固有名詞,人名,一般,*,*,*,ハナサキガワ,ハナサキガワ
羽丘,,,1000,名詞,固有名詞,人名,一般,*,*,*,ハネオカ,ハネオカ
月ノ森,,,1000,名詞,固有名詞,人名,一般,*,*,*,ツキノモリ,ツキノモリ
花園,,,1000,名詞,固有名詞,人名,一般,*,*,*,ハナゾノ,ハナゾノ
たえ,,,1000,名詞,固有名詞,人名,一般,*,*,*,タエ,タエ
あこ,,,1000,名詞,固有名詞,人名,一般,*,*,*,アコ,アコ
彩,,,1000,名詞,固有名詞,人名,一般,*,*,*,アヤ,アヤ
北沢,,,1000,名詞,固有名詞,人名,一般,*,*,*,キタザワ,キタザワ
はぐみ,,,1000,名詞,固有名詞,人名,一般,*,*,*,ハグミ,ハグミ
美竹,,,1000,名詞,固有名詞,人名,一般,*,*,*,ミタケ,ミタケ
蘭,,,1000,名詞,固有名詞,人名,一般,*,*,*,ラン,ラン
山吹,,,1000,名詞,固有名詞,人名,一般,*,*,*,ヤマブキ,ヤマブキ
白金,,,1000,名詞,固有名詞,人名,一般,*,*,*,シロカネ,シロカネ
燐子,,,1000,名詞,固有名詞,人名,一般,*,*,*,リンコ,リンコ
友希那,,,1000,名詞,固有名詞,人名,一般,*,*,*,ユキナ,ユキナ
紗夜,,,1000,名詞,固有名詞,人名,一般,*,*,*,サヨ,サヨ
こころ,,,1000,名詞,固有名詞,人名,一般,*,*,*,ココロ,ココロ
戸山,,,1000,名詞,固有名詞,人名,一般,*,*,*,トヤマ,トヤマ
千聖,,,1000,名詞,固有名詞,人名,一般,*,*,*,チサト,チサト
有咲,,,1000,名詞,固有名詞,人名,一般,*,*,*,アリサ,アリサ
令王那,,,1000,名詞,固有名詞,人名,一般,*,*,*,パレオ,パレオ
月島,,,1000,名詞,固有名詞,人名,一般,*,*,*,ツキシマ,ツキシマ
つぐみ,,,1000,名詞,固有名詞,人名,一般,*,*,*,ツグミ,ツグミ
つぐ,,,1000,名詞,固有名詞,人名,一般,*,*,*,ツグ,ツグ
